STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
33,602,Thiruvallur,5693,Gummidipoondi,628549,Naidukuppam,"Naidukuppam,Gummidipoondi,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5693,Gummidipoondi,628600,Karumbukuppam,"Karumbukuppam,Gummidipoondi,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5693,Gummidipoondi,628601,Sinthalakuppam,"Sinthalakuppam,Gummidipoondi,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5693,Gummidipoondi,628624,Annappa Naickankuppam,"Annappa Naickankuppam,Gummidipoondi,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628695,Eripillaikuppam,"Eripillaikuppam,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628706,Vairavankuppam,"Vairavankuppam,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628714,Malliankuppam,"Malliankuppam,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5695,Uthukkottai,628774,Thamaraikuppam,"Thamaraikuppam,Uthukkottai,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5695,Uthukkottai,628783,Vannankuppam,"Vannankuppam,Uthukkottai,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5695,Uthukkottai,628784,Thoddareddykuppam,"Thoddareddykuppam,Uthukkottai,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5695,Uthukkottai,628805,Paruthimerikuppam,"Paruthimerikuppam,Uthukkottai,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5695,Uthukkottai,628844,Kottakuppam,"Kottakuppam,Uthukkottai,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5695,Uthukkottai,628857,Govindarajakuppam,"Govindarajakuppam,Uthukkottai,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5696,Tiruttani,628873,Gollakuppam,"Gollakuppam,Tiruttani,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5697,Pallipattu,628938,Venkatarajakuppam,"Venkatarajakuppam,Pallipattu,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5698,Thiruvallur,629015,Singilikuppam,"Singilikuppam,Thiruvallur,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5698,Thiruvallur,629017,Pudukuppam,"Pudukuppam,Thiruvallur,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5698,Thiruvallur,629041,Kaliyanakuppam,"Kaliyanakuppam,Thiruvallur,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5698,Thiruvallur,629058,Praiyankuppam,"Praiyankuppam,Thiruvallur,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5698,Thiruvallur,629059,Pillaiyarkuppam,"Pillaiyarkuppam,Thiruvallur,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5698,Thiruvallur,629087,Madathukuppam,"Madathukuppam,Thiruvallur,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5698,Thiruvallur,629104,Pillaiyarkuppam,"Pillaiyarkuppam,Thiruvallur,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5701,Mathavaram,629182,Sadayankuppam,"Sadayankuppam,Mathavaram,Thiruvallur,Tamilnadu,India"
33,604,Kancheepuram,5702,Sriperumbudur,629321,Sennakuppam,"Sennakuppam,Sriperumbudur,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5706,Chengalpattu,629437,Nellikuppam,"Nellikuppam,Chengalpattu,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5706,Chengalpattu,629460,Edayankuppam,"Edayankuppam,Chengalpattu,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5706,Chengalpattu,629466,Dasarikuppam,"Dasarikuppam,Chengalpattu,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5706,Chengalpattu,629487,Chettipatturayamankuppam,"Chettipatturayamankuppam,Chengalpattu,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5706,Chengalpattu,629500,Konerikuppam,"Konerikuppam,Chengalpattu,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5706,Chengalpattu,629501,Reddikuppam,"Reddikuppam,Chengalpattu,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5706,Chengalpattu,629518,Salavankuppam,"Salavankuppam,Chengalpattu,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5707,Kancheepuram,629602,Vishakandikuppam,"Vishakandikuppam,Kancheepuram,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5707,Kancheepuram,629640,Suramenikuppam,"Suramenikuppam,Kancheepuram,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5707,Kancheepuram,629652,Naickenkuppam,"Naickenkuppam,Kancheepuram,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5707,Kancheepuram,629668,Mettukuppam,"Mettukuppam,Kancheepuram,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5709,Tirukalukundram,629877,Melkuppam,"Melkuppam,Tirukalukundram,Kancheepuram,Tamilnadu,India"
33,604,Kancheepuram,5709,Tirukalukundram,629882,Kankeyamkuppam,"Kankeyamkuppam,Tirukalukundram,Kancheepuram,Tamilnadu,India"
