STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
33,604,Kancheepuram,5706,Chengalpattu,629402,Siruseri,"Siruseri,Chengalpattu,Kancheepuram,Tamilnadu,India"
33,613,Karur ,5771,Kulithalai,635633,Vadaseri,"Vadaseri,Kulithalai,Karur,Tamilnadu,India"
33,622,Sivaganga,5834,Ilayangudi,640477,Melapidariseri,"Melapidariseri,Ilayangudi,Sivaganga,Tamilnadu,India"
33,623,Madurai,5836,Madurai North,640585,Pilluseri,"Pilluseri,Madurai North,Madurai,Tamilnadu,India"
33,623,Madurai,5836,Madurai North,640700,Karseri,"Karseri,Madurai North,Madurai,Tamilnadu,India"
33,623,Madurai,5839,Peraiyur,640869,Avalaseri,"Avalaseri,Peraiyur,Madurai,Tamilnadu,India"
33,623,Madurai,5839,Peraiyur,640874,Kudiseri,"Kudiseri,Peraiyur,Madurai,Tamilnadu,India"
33,625,Virudhunagar,5848,Srivilliputhur,641250,Tadagannai Managaseri,"Tadagannai Managaseri,Srivilliputhur,Virudhunagar,Tamilnadu,India"
33,625,Virudhunagar,5850,Virudhunagar,641334,Kariseri,"Kariseri,Virudhunagar,Virudhunagar,Tamilnadu,India"
33,625,Virudhunagar,5852,Tiruchuli,641506,Sathiseri,"Sathiseri,Tiruchuli,Virudhunagar,Tamilnadu,India"
33,625,Virudhunagar,5853,Aruppukkottai,641643,Veppilaiseri,"Veppilaiseri,Aruppukkottai,Virudhunagar,Tamilnadu,India"
33,626,Ramanathapuram,5856,Paramakudi,641916,Thiyagavanseri,"Thiyagavanseri,Paramakudi,Ramanathapuram,Tamilnadu,India"
33,626,Ramanathapuram,5857,Mudukulathur,641995,Pooseri,"Pooseri,Mudukulathur,Ramanathapuram,Tamilnadu,India"
33,627,Thoothukkudi,5862,Kovilpatti,642192,Villiseri,"Villiseri,Kovilpatti,Thoothukkudi,Tamilnadu,India"
33,627,Thoothukkudi,5867,Srivaikuntam,642485,Vadakkukariseri,"Vadakkukariseri,Srivaikuntam,Thoothukkudi,Tamilnadu,India"
33,627,Thoothukkudi,5867,Srivaikuntam,642528,Terkukariseri,"Terkukariseri,Srivaikuntam,Thoothukkudi,Tamilnadu,India"
33,628,Tirunelveli ,5873,Tenkasi,642763,Minadiseri,"Minadiseri,Tenkasi,Tirunelveli,Tamilnadu,India"
