STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
33,602,Thiruvallur,0,Thiruvallur,0,Thiruvallur,"Thiruvallur,Thiruvallur,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5693,Gummidipoondi,628554,Sanaputhur,"Sanaputhur,Gummidipoondi,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5693,Gummidipoondi,628555,Edur,"Edur,Gummidipoondi,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5693,Gummidipoondi,628563,Elavur,"Elavur,Gummidipoondi,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5693,Gummidipoondi,628573,Nemalur,"Nemalur,Gummidipoondi,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5693,Gummidipoondi,628574,Budur,"Budur,Gummidipoondi,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5693,Gummidipoondi,628604,Chinnapuliyur,"Chinnapuliyur,Gummidipoondi,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5693,Gummidipoondi,628605,Periapuliyur,"Periapuliyur,Gummidipoondi,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5693,Gummidipoondi,628606,Kollanur,"Kollanur,Gummidipoondi,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5693,Gummidipoondi,628608,Karadipudur,"Karadipudur,Gummidipoondi,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5693,Gummidipoondi,628621,Kanlur,"Kanlur,Gummidipoondi,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628631,Injur,"Injur,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628635,Kallur,"Kallur,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628638,Periaveppathur,"Periaveppathur,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628639,Chennaveppathur,"Chennaveppathur,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628646,Periakarumbur,"Periakarumbur,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628660,Arasur,"Arasur,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628666,Kattavur,"Kattavur,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628667,Medur,"Medur,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628668,Asanabudur,"Asanabudur,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628693,Voyalur,"Voyalur,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628696,Velur,"Velur,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628697,Siruvelur,"Siruvelur,Ponneri,Thiruvallur,Tamilnadu,India"
33,602,Thiruvallur,5694,Ponneri,628707,Peravallur,"Peravallur,Ponneri,Thiruvallur,Tamilnadu,India"
