STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
5,56,Uttarkashi,279,Mori,40206,Pawali,"Pawali,Mori,Uttarkashi,Uttarakhand,India"
5,56,Uttarkashi,281,Dunda,40512,Diwali,"Diwali,Dunda,Uttarkashi,Uttarakhand,India"
5,57,Chamoli,287,Karnaprayag,41379,Dugalwali,"Dugalwali,Karnaprayag,Chamoli,Uttarakhand,India"
5,57,Chamoli,287,Karnaprayag,41450,Baskwali,"Baskwali,Karnaprayag,Chamoli,Uttarakhand,India"
5,57,Chamoli,288,Tharali  ,41608,Nawali,"Nawali,Tharali,Chamoli,Uttarakhand,India"
5,57,Chamoli,289,Gairsain,41824,Bhatmwali,"Bhatmwali,Gairsain,Chamoli,Uttarakhand,India"
5,57,Chamoli,289,Gairsain,41843,Pindawali,"Pindawali,Gairsain,Chamoli,Uttarakhand,India"
5,57,Chamoli,289,Gairsain,41924,Ganwali,"Ganwali,Gairsain,Chamoli,Uttarakhand,India"
5,57,Chamoli,289,Gairsain,41925,Khadun Laga Gawali,"Khadun Laga Gawali,Gairsain,Chamoli,Uttarakhand,India"
5,57,Chamoli,289,Gairsain,41971,Agar Laga Gawali,"Agar Laga Gawali,Gairsain,Chamoli,Uttarakhand,India"
5,58,Rudraprayag,290,Ukhimath,42168,Garwali,"Garwali,Ukhimath,Rudraprayag,Uttarakhand,India"
5,58,Rudraprayag,291,"Rudraprayag
",42502,Nirwali,"Nirwali,Rudraprayag,Rudraprayag,Uttarakhand,India"
5,58,Rudraprayag,291,"Rudraprayag
",42591,Kwali,"Kwali,Rudraprayag,Rudraprayag,Uttarakhand,India"
5,59,Tehri Garhwal,293,Ghansali,42811,Gainwali,"Gainwali,Ghansali,Tehri Garhwal,Uttarakhand,India"
5,59,Tehri Garhwal,293,Ghansali,42881,Gainwali,"Gainwali,Ghansali,Tehri Garhwal,Uttarakhand,India"
5,59,Tehri Garhwal,293,Ghansali,42911,Padagali May Ghotiwali,"Padagali May Ghotiwali,Ghansali,Tehri Garhwal,Uttarakhand,India"
5,59,Tehri Garhwal,294,Devprayag,43069,Bhitwali,"Bhitwali,Devprayag,Tehri Garhwal,Uttarakhand,India"
5,59,Tehri Garhwal,294,Devprayag,43248,Lwali,"Lwali,Devprayag,Tehri Garhwal,Uttarakhand,India"
5,59,Tehri Garhwal,295,Pratapnagar,43528,Jhinwali,"Jhinwali,Pratapnagar,Tehri Garhwal,Uttarakhand,India"
5,59,Tehri Garhwal,296,Jakhnidhar,43638,Genwali,"Genwali,Jakhnidhar,Tehri Garhwal,Uttarakhand,India"
