STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
9,134,Bijnor,715,Dhampur,113292,Dhakoli,"Dhakoli,Dhampur,Bijnor,Uttar Pradesh,India"
9,135,Moradabad,721,Sambhal,115765,Saidpur Jaskoli,"Saidpur Jaskoli,Sambhal,Moradabad,Uttar Pradesh,India"
9,139,Baghpat,736,Baghpat,119490,Dhikoli,"Dhikoli,Baghpat,Baghpat,Uttar Pradesh,India"
9,145,Mathura,761,Chhata,123625,Rankoli,"Rankoli,Chhata,Mathura,Uttar Pradesh,India"
9,145,Mathura,763,Mahavan,124168,Hatkoli,"Hatkoli,Mahavan,Mathura,Uttar Pradesh,India"
9,146,Agra,770,Bah,125200,Karkoli,"Karkoli,Bah,Agra,Uttar Pradesh,India"
9,146,Agra,770,Bah,125255,Vijkoli,"Vijkoli,Bah,Agra,Uttar Pradesh,India"
9,146,Agra,770,Bah,125302,Midkoli,"Midkoli,Bah,Agra,Uttar Pradesh,India"
9,146,Agra,770,Bah,125303,Padkoli,"Padkoli,Bah,Agra,Uttar Pradesh,India"
9,149,Budaun,779,Bisauli ,127457,Rajtikoli,"Rajtikoli,Bisauli,Budaun,Uttar Pradesh,India"
9,156,Unnao,814,Safipur,141504,Dakoli,"Dakoli,Safipur,Unnao,Uttar Pradesh,India"
9,157,Lucknow,821,Lucknow,143439,Kakoli,"Kakoli,Lucknow,Lucknow,Uttar Pradesh,India"
9,157,Lucknow,821,Lucknow,143479,Chakoli,"Chakoli,Lucknow,Lucknow,Uttar Pradesh,India"
9,161,Etawah,838,Etawah,147518,Khadkoli,"Khadkoli,Etawah,Etawah,Uttar Pradesh,India"
9,162,Auraiya,842,Auraiya ,148781,Tikoli,"Tikoli,Auraiya,Auraiya,Uttar Pradesh,India"
9,166,Jhansi,857,Garautha,152271,Dikoli,"Dikoli,Garautha,Jhansi,Uttar Pradesh,India"
9,166,Jhansi,860,Jhansi,152753,Dhikoli,"Dhikoli,Jhansi,Jhansi,Uttar Pradesh,India"
9,172,Fatehpur,877,Bindki,156333,Bakoli,"Bakoli,Bindki,Fatehpur,Uttar Pradesh,India"
9,176,Bara Banki,901,Haidergarh,165454,Paikoli,"Paikoli,Haidergarh,Bara Banki,Uttar Pradesh,India"
9,188,Gorakhpur,952,Bansgaon,186537,Katkoli,"Katkoli,Bansgaon,Gorakhpur,Uttar Pradesh,India"
9,191,Azamgarh,965,Sagri,192804,Sethakoli,"Sethakoli,Sagri,Azamgarh,Uttar Pradesh,India"
9,194,Jaunpur,983,Machhlishahr,201287,Karkoli,"Karkoli,Machhlishahr,Jaunpur,Uttar Pradesh,India"
