STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
9,133,Muzaffarnagar,708,Muzaffarnagar,111019,Nirmani,"Nirmani,Muzaffarnagar,Muzaffarnagar,Uttar Pradesh,India"
9,139,Baghpat,736,Baghpat,119474,Jonmani,"Jonmani,Baghpat,Baghpat,Uttar Pradesh,India"
9,143,Aligarh,752,Khair,121863,Bamani,"Bamani,Khair,Aligarh,Uttar Pradesh,India"
9,149,Budaun,781,Sahaswan,128218,Jamani,"Jamani,Sahaswan,Budaun,Uttar Pradesh,India"
9,153,Kheri,800,Mohammdi,135801,Karmani,"Karmani,Mohammdi,Kheri,Uttar Pradesh,India"
9,153,Kheri,800,Mohammdi,135981,Bhogipurmani,"Bhogipurmani,Mohammdi,Kheri,Uttar Pradesh,India"
9,154,Sitapur,806,Biswan,138275,Mithmani,"Mithmani,Biswan,Sitapur,Uttar Pradesh,India"
9,154,Sitapur,807,Mahmudabad,138484,Khetmani,"Khetmani,Mahmudabad,Sitapur,Uttar Pradesh,India"
9,156,Unnao,816,Unnao,142121,Parmani,"Parmani,Unnao,Unnao,Uttar Pradesh,India"
9,158,Rae Bareli,824,Tiloi,144154,Brahmani,"Brahmani,Tiloi,Rae Bareli,Uttar Pradesh,India"
9,159,Farrukhabad,830,Kaimganj,145585,Nagla Khamani,"Nagla Khamani,Kaimganj,Farrukhabad,Uttar Pradesh,India"
9,159,Farrukhabad,830,Kaimganj,145592,Chak Nagla Khamani,"Chak Nagla Khamani,Kaimganj,Farrukhabad,Uttar Pradesh,India"
9,172,Fatehpur,879,Khaga ,157154,Cahk Mirgumani,"Cahk Mirgumani,Khaga,Fatehpur,Uttar Pradesh,India"
9,172,Fatehpur,879,Khaga ,157475,Amani,"Amani,Khaga,Fatehpur,Uttar Pradesh,India"
9,173,Pratapgarh,880,Lalganj ,157811,Sarai Bagmani,"Sarai Bagmani,Lalganj,Pratapgarh,Uttar Pradesh,India"
9,173,Pratapgarh,880,Lalganj ,157925,Pure Bhagmani,"Pure Bhagmani,Lalganj,Pratapgarh,Uttar Pradesh,India"
9,173,Pratapgarh,883,Patti,159536,Purey Lokmani,"Purey Lokmani,Patti,Pratapgarh,Uttar Pradesh,India"
9,174,Kaushambi,885,Sirathu,159879,Dhamani,"Dhamani,Sirathu,Kaushambi,Uttar Pradesh,India"
9,178,Ambedkar Nagar,909,Jalalpur ,167816,Karmani,"Karmani,Jalalpur,Ambedkar Nagar,Uttar Pradesh,India"
9,179,Sultanpur,912,Musafirkhana ,169003,Sarai Sulemani,"Sarai Sulemani,Musafirkhana,Sultanpur,Uttar Pradesh,India"
9,181,Shrawasti,923,Bhinga,172610,Ghumani,"Ghumani,Bhinga,Shrawasti,Uttar Pradesh,India"
9,189,Kushinagar,956,Hata,189026,Pipra Lalmani,"Pipra Lalmani,Hata,Kushinagar,Uttar Pradesh,India"
9,190,Deoria,962,Salempur,191236,Kodara Chintamani,"Kodara Chintamani,Salempur,Deoria,Uttar Pradesh,India"
9,191,Azamgarh,965,Sagri,192518,Arazi Amani,"Arazi Amani,Sagri,Azamgarh,Uttar Pradesh,India"
9,191,Azamgarh,968,Phulpur ,194884,Chak Brahamani,"Chak Brahamani,Phulpur,Azamgarh,Uttar Pradesh,India"
9,194,Jaunpur,982,Badlapur,200844,Meerapur Shiromani,"Meerapur Shiromani,Badlapur,Jaunpur,Uttar Pradesh,India"
9,194,Jaunpur,982,Badlapur,200859,Pura Gangamani,"Pura Gangamani,Badlapur,Jaunpur,Uttar Pradesh,India"
9,195,Ghazipur,989,Ghazipur,205074,Chak Asamani,"Chak Asamani,Ghazipur,Ghazipur,Uttar Pradesh,India"
9,195,Ghazipur,991,Zamania,206587,Kanakpur Asmani,"Kanakpur Asmani,Zamania,Ghazipur,Uttar Pradesh,India"
9,196,Chandauli,992,Sakaldiha,206847,Amani,"Amani,Sakaldiha,Chandauli,Uttar Pradesh,India"
9,197,Varanasi,996,Varanasi,209122,Nimani,"Nimani,Varanasi,Varanasi,Uttar Pradesh,India"
9,198,Sant Ravidas Nagar (Bhadohi),997,Bhadohi,210048,Araji Amani,"Araji Amani,Bhadohi,Sant Ravidas Nagar (Bhadohi),Uttar Pradesh,India"
9,198,Sant Ravidas Nagar (Bhadohi),997,Bhadohi,210091,Bag Amani,"Bag Amani,Bhadohi,Sant Ravidas Nagar (Bhadohi),Uttar Pradesh,India"
9,198,Sant Ravidas Nagar (Bhadohi),998,Gyanpur,210189,Chak Gumani,"Chak Gumani,Gyanpur,Sant Ravidas Nagar (Bhadohi),Uttar Pradesh,India"
