STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
9,132,Saharanpur,701,Behat,108989,Nanoli,"Nanoli,Behat,Saharanpur,Uttar Pradesh,India"
9,132,Saharanpur,701,Behat,108991,Rasoolpur Urf Rasooli,"Rasoolpur Urf Rasooli,Behat,Saharanpur,Uttar Pradesh,India"
9,132,Saharanpur,701,Behat,109001,Hatholi,"Hatholi,Behat,Saharanpur,Uttar Pradesh,India"
9,132,Saharanpur,701,Behat,109003,Ghaghroli,"Ghaghroli,Behat,Saharanpur,Uttar Pradesh,India"
9,132,Saharanpur,701,Behat,109035,Ratnoli,"Ratnoli,Behat,Saharanpur,Uttar Pradesh,India"
9,132,Saharanpur,701,Behat,109041,Rogla Hatholi,"Rogla Hatholi,Behat,Saharanpur,Uttar Pradesh,India"
9,132,Saharanpur,701,Behat,109198,Gangoli,"Gangoli,Behat,Saharanpur,Uttar Pradesh,India"
9,132,Saharanpur,702,Saharanpur,109210,Matki Jharoli,"Matki Jharoli,Saharanpur,Saharanpur,Uttar Pradesh,India"
9,132,Saharanpur,702,Saharanpur,109379,Tharoli,"Tharoli,Saharanpur,Saharanpur,Uttar Pradesh,India"
9,132,Saharanpur,702,Saharanpur,109461,Badoli,"Badoli,Saharanpur,Saharanpur,Uttar Pradesh,India"
9,132,Saharanpur,702,Saharanpur,109534,Dandoli,"Dandoli,Saharanpur,Saharanpur,Uttar Pradesh,India"
9,132,Saharanpur,704,Deoband,110095,Ismailpur Majra Chandena Koli,"Ismailpur Majra Chandena Koli,Deoband,Saharanpur,Uttar Pradesh,India"
9,132,Saharanpur,704,Deoband,110100,Fatehullapur Koli,"Fatehullapur Koli,Deoband,Saharanpur,Uttar Pradesh,India"
9,132,Saharanpur,704,Deoband,110104,Dudhli Majra Chandena Koli,"Dudhli Majra Chandena Koli,Deoband,Saharanpur,Uttar Pradesh,India"
9,132,Saharanpur,704,Deoband,110105,Daulatpur Majra Chandena Koli,"Daulatpur Majra Chandena Koli,Deoband,Saharanpur,Uttar Pradesh,India"
9,133,Muzaffarnagar,706,Kairana,110585,Bamnoli,"Bamnoli,Kairana,Muzaffarnagar,Uttar Pradesh,India"
9,133,Muzaffarnagar,708,Muzaffarnagar,110782,Kasoli,"Kasoli,Muzaffarnagar,Muzaffarnagar,Uttar Pradesh,India"
9,133,Muzaffarnagar,708,Muzaffarnagar,110826,Kacholi,"Kacholi,Muzaffarnagar,Muzaffarnagar,Uttar Pradesh,India"
