STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
9,132,Saharanpur,701,Behat,108938,Murtazapur Shaoor,"Murtazapur Shaoor,Behat,Saharanpur,Uttar Pradesh,India"
9,132,Saharanpur,701,Behat,108985,Lateefpur Bhoor,"Lateefpur Bhoor,Behat,Saharanpur,Uttar Pradesh,India"
9,132,Saharanpur,701,Behat,108997,Sadholi Bhoor,"Sadholi Bhoor,Behat,Saharanpur,Uttar Pradesh,India"
9,132,Saharanpur,704,Deoband,110234,Nagli Noor,"Nagli Noor,Deoband,Saharanpur,Uttar Pradesh,India"
9,135,Moradabad,717,Thakurdwara,114550,Raibhoor,"Raibhoor,Thakurdwara,Moradabad,Uttar Pradesh,India"
9,135,Moradabad,717,Thakurdwara,114559,Khaberia Bhoor,"Khaberia Bhoor,Thakurdwara,Moradabad,Uttar Pradesh,India"
9,135,Moradabad,717,Thakurdwara,114658,Bhoor,"Bhoor,Thakurdwara,Moradabad,Uttar Pradesh,India"
9,135,Moradabad,720,Bilari,115463,Bachal Bhoor,"Bachal Bhoor,Bilari,Moradabad,Uttar Pradesh,India"
9,135,Moradabad,722,Chandausi,116153,Naglia Bhoor,"Naglia Bhoor,Chandausi,Moradabad,Uttar Pradesh,India"
9,137,Jyotiba Phule Nagar,730,Amroha,117837,Toor,"Toor,Amroha,Jyotiba Phule Nagar,Uttar Pradesh,India"
9,137,Jyotiba Phule Nagar,731,Hasanpur,118256,Patai Bhoor,"Patai Bhoor,Hasanpur,Jyotiba Phule Nagar,Uttar Pradesh,India"
9,137,Jyotiba Phule Nagar,731,Hasanpur,118262,Hajipur Bhoor,"Hajipur Bhoor,Hasanpur,Jyotiba Phule Nagar,Uttar Pradesh,India"
9,137,Jyotiba Phule Nagar,731,Hasanpur,118280,Luhari Bhoor,"Luhari Bhoor,Hasanpur,Jyotiba Phule Nagar,Uttar Pradesh,India"
9,137,Jyotiba Phule Nagar,731,Hasanpur,118297,Brahampur Bhoor,"Brahampur Bhoor,Hasanpur,Jyotiba Phule Nagar,Uttar Pradesh,India"
9,137,Jyotiba Phule Nagar,731,Hasanpur,118337,Rampur Bhoor,"Rampur Bhoor,Hasanpur,Jyotiba Phule Nagar,Uttar Pradesh,India"
9,137,Jyotiba Phule Nagar,731,Hasanpur,118417,Seekri Bhoor,"Seekri Bhoor,Hasanpur,Jyotiba Phule Nagar,Uttar Pradesh,India"
9,149,Budaun,778,Gunnaur ,127232,Gunnaur Mansoor,"Gunnaur Mansoor,Gunnaur,Budaun,Uttar Pradesh,India"
9,150,Bareilly,784,Baheri,129335,Jamkhajoor,"Jamkhajoor,Baheri,Bareilly,Uttar Pradesh,India"
9,150,Bareilly,786,Aonla ,129785,Rampura Bhoor,"Rampura Bhoor,Aonla,Bareilly,Uttar Pradesh,India"
9,150,Bareilly,786,Aonla ,129803,Gularia Bhoor,"Gularia Bhoor,Aonla,Bareilly,Uttar Pradesh,India"
9,151,Pilibhit,792,Puranpur,132131,Bodi Bhoor,"Bodi Bhoor,Puranpur,Pilibhit,Uttar Pradesh,India"
9,152,Shahjahanpur,794,Tilhar,133791,Jaura Bhoor,"Jaura Bhoor,Tilhar,Shahjahanpur,Uttar Pradesh,India"
9,152,Shahjahanpur,796,Jalalabad,134823,Bhuriabhoor,"Bhuriabhoor,Jalalabad,Shahjahanpur,Uttar Pradesh,India"
9,153,Kheri,798,Palia,135208,Pipariya Bhoor,"Pipariya Bhoor,Palia,Kheri,Uttar Pradesh,India"
9,153,Kheri,799,Gola Gokaran Nath,135511,Lakhabhoor,"Lakhabhoor,Gola Gokaran Nath,Kheri,Uttar Pradesh,India"
9,153,Kheri,801,Lakhimpur,136415,Basha Bhoor,"Basha Bhoor,Lakhimpur,Kheri,Uttar Pradesh,India"
9,158,Rae Bareli,824,Tiloi,144185,Chak Bhoor,"Chak Bhoor,Tiloi,Rae Bareli,Uttar Pradesh,India"
9,159,Farrukhabad,830,Kaimganj,145856,Saidpur Pistoor,"Saidpur Pistoor,Kaimganj,Farrukhabad,Uttar Pradesh,India"
9,160,Kannauj,833,Chhibramau,146886,Roor,"Roor,Chhibramau,Kannauj,Uttar Pradesh,India"
9,163,Kanpur Dehat,845,Akbarpur ,149192,Jugrajpur Bithoor,"Jugrajpur Bithoor,Akbarpur,Kanpur Dehat,Uttar Pradesh,India"
9,163,Kanpur Dehat,845,Akbarpur ,149270,Sabalpur Bithoor,"Sabalpur Bithoor,Akbarpur,Kanpur Dehat,Uttar Pradesh,India"
9,163,Kanpur Dehat,845,Akbarpur ,149273,Kharagpur Bithoor,"Kharagpur Bithoor,Akbarpur,Kanpur Dehat,Uttar Pradesh,India"
9,164,Kanpur Nagar,848,Bilhaur ,149923,Saraiya Bhoor,"Saraiya Bhoor,Bilhaur,Kanpur Nagar,Uttar Pradesh,India"
9,164,Kanpur Nagar,848,Bilhaur ,150217,Salempur Bithoor,"Salempur Bithoor,Bilhaur,Kanpur Nagar,Uttar Pradesh,India"
9,164,Kanpur Nagar,848,Bilhaur ,150218,Katri Salempur Bithoor,"Katri Salempur Bithoor,Bilhaur,Kanpur Nagar,Uttar Pradesh,India"
9,164,Kanpur Nagar,848,Bilhaur ,150222,Udetpur Bithoor,"Udetpur Bithoor,Bilhaur,Kanpur Nagar,Uttar Pradesh,India"
