STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
9,133,Muzaffarnagar,710,Khatauli,111261,Abdulla Nagar Urf Gauwari,"Abdulla Nagar Urf Gauwari,Khatauli,Muzaffarnagar,Uttar Pradesh,India"
9,133,Muzaffarnagar,710,Khatauli,111276,Chawari,"Chawari,Khatauli,Muzaffarnagar,Uttar Pradesh,India"
9,134,Bijnor,714,Nagina,112633,Manshah Patwari,"Manshah Patwari,Nagina,Bijnor,Uttar Pradesh,India"
9,134,Bijnor,715,Dhampur,113121,Gawari,"Gawari,Dhampur,Bijnor,Uttar Pradesh,India"
9,134,Bijnor,715,Dhampur,113534,Aurangshahpur Banwari,"Aurangshahpur Banwari,Dhampur,Bijnor,Uttar Pradesh,India"
9,134,Bijnor,715,Dhampur,113581,Prithi Parbanwari,"Prithi Parbanwari,Dhampur,Bijnor,Uttar Pradesh,India"
9,134,Bijnor,715,Dhampur,113645,Nasirpur Banwari,"Nasirpur Banwari,Dhampur,Bijnor,Uttar Pradesh,India"
9,134,Bijnor,716,Chandpur,114476,Pathwari,"Pathwari,Chandpur,Bijnor,Uttar Pradesh,India"
9,135,Moradabad,720,Bilari,115326,Lalpur Gangwari,"Lalpur Gangwari,Bilari,Moradabad,Uttar Pradesh,India"
9,135,Moradabad,720,Bilari,115496,Bhidwari,"Bhidwari,Bilari,Moradabad,Uttar Pradesh,India"
9,135,Moradabad,720,Bilari,115548,Kharagwari,"Kharagwari,Bilari,Moradabad,Uttar Pradesh,India"
9,135,Moradabad,721,Sambhal,115814,Esapur Sunwari,"Esapur Sunwari,Sambhal,Moradabad,Uttar Pradesh,India"
9,137,Jyotiba Phule Nagar,729,Dhanaura,117639,Ahamadpur Gawari,"Ahamadpur Gawari,Dhanaura,Jyotiba Phule Nagar,Uttar Pradesh,India"
9,137,Jyotiba Phule Nagar,730,Amroha,117862,Chakmilak Fatehpur Ganwari,"Chakmilak Fatehpur Ganwari,Amroha,Jyotiba Phule Nagar,Uttar Pradesh,India"
9,137,Jyotiba Phule Nagar,730,Amroha,117863,Milak Fathepur Gawari,"Milak Fathepur Gawari,Amroha,Jyotiba Phule Nagar,Uttar Pradesh,India"
9,137,Jyotiba Phule Nagar,730,Amroha,117864,Aseypur Natthan Ganwari,"Aseypur Natthan Ganwari,Amroha,Jyotiba Phule Nagar,Uttar Pradesh,India"
9,137,Jyotiba Phule Nagar,730,Amroha,117866,Rasoolpur Ganwari,"Rasoolpur Ganwari,Amroha,Jyotiba Phule Nagar,Uttar Pradesh,India"
9,137,Jyotiba Phule Nagar,730,Amroha,117870,Dhawari,"Dhawari,Amroha,Jyotiba Phule Nagar,Uttar Pradesh,India"
9,137,Jyotiba Phule Nagar,730,Amroha,117871,Chak Dhawari,"Chak Dhawari,Amroha,Jyotiba Phule Nagar,Uttar Pradesh,India"
9,137,Jyotiba Phule Nagar,731,Hasanpur,118495,Gangeswari,"Gangeswari,Hasanpur,Jyotiba Phule Nagar,Uttar Pradesh,India"
