STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
19,327,Darjiling ,2163,Naxalbari,306585,Kamala,"Kamala,Naxalbari,Darjiling,West Bengal,India"
19,327,Darjiling ,2164,Phansidewa,306719,Baramala,"Baramala,Phansidewa,Darjiling,West Bengal,India"
19,328,Jalpaiguri ,2167,Mal,306927,Tesimala,"Tesimala,Mal,Jalpaiguri,West Bengal,India"
19,331,Dakshin Dinajpur,2201,Gangarampur,310653,Ratanmala,"Ratanmala,Gangarampur,Dakshin Dinajpur,West Bengal,India"
19,336,Nadia ,2305,Chapra,321569,Badelangi Padmamala,"Badelangi Padmamala,Chapra,Nadia,West Bengal,India"
19,338,Hugli ,2339,Goghat - II,324130,Kamala,"Kamala,Goghat - II,Hugli,West Bengal,India"
19,338,Hugli ,2347,Polba - Dadpur,325135,Harmala,"Harmala,Polba - Dadpur,Hugli,West Bengal,India"
19,339,Bankura ,2363,Barjora,327234,Kamala,"Kamala,Barjora,Bankura,West Bengal,India"
19,339,Bankura ,2370,Onda,328383,Kamala,"Kamala,Onda,Bankura,West Bengal,India"
19,339,Bankura ,2372,Simlapal,328858,Kamala,"Kamala,Simlapal,Bankura,West Bengal,India"
19,341,Haora ,2409,Bagnan - II,333073,Chak Kamala,"Chak Kamala,Bagnan - II,Haora,West Bengal,India"
19,344,Paschim Medinipur,2452,Salbani,339081,Uparkamala,"Uparkamala,Salbani,Paschim Medinipur,West Bengal,India"
19,344,Paschim Medinipur,2452,Salbani,339082,Kamala,"Kamala,Salbani,Paschim Medinipur,West Bengal,India"
19,345,Purba Medinipur,2490,Contai - III,346559,Ratnamala,"Ratnamala,Contai - III,Purba Medinipur,West Bengal,India"
