STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
19,332,Maldah ,2211,Chanchal - II,312281,Chaitanpati,"Chaitanpati,Chanchal - II,Maldah,West Bengal,India"
19,335,Barddhaman ,2283,Purbasthali - I,319492,Ranjapurpati,"Ranjapurpati,Purbasthali - I,Barddhaman,West Bengal,India"
19,335,Barddhaman ,2294,Kalna - II,320567,Satapati,"Satapati,Kalna - II,Barddhaman,West Bengal,India"
19,339,Bankura ,2369,Vishnupur,328207,Dharapati,"Dharapati,Vishnupur,Bankura,West Bengal,India"
19,340,Puruliya,2389,Arsha,331212,Rajpati,"Rajpati,Arsha,Puruliya,West Bengal,India"
19,340,Puruliya,2395,Manbazar - I,332071,Chapati,"Chapati,Manbazar - I,Puruliya,West Bengal,India"
19,340,Puruliya,2396,Manbazar - II,332340,Kalapati,"Kalapati,Manbazar - II,Puruliya,West Bengal,India"
19,344,Paschim Medinipur,2441,Binpur - II,335671,Champati,"Champati,Binpur - II,Paschim Medinipur,West Bengal,India"
19,344,Paschim Medinipur,2452,Salbani,338851,Satpati,"Satpati,Salbani,Paschim Medinipur,West Bengal,India"
19,344,Paschim Medinipur,2454,Jhargram,339539,Antapati,"Antapati,Jhargram,Paschim Medinipur,West Bengal,India"
19,344,Paschim Medinipur,2454,Jhargram,339562,Antapati,"Antapati,Jhargram,Paschim Medinipur,West Bengal,India"
19,344,Paschim Medinipur,2454,Jhargram,339591,Satpati,"Satpati,Jhargram,Paschim Medinipur,West Bengal,India"
19,344,Paschim Medinipur,2455,Jamboni,340135,Satpati,"Satpati,Jamboni,Paschim Medinipur,West Bengal,India"
19,344,Paschim Medinipur,2459,Sankrail,341299,Khayrapati,"Khayrapati,Sankrail,Paschim Medinipur,West Bengal,India"
19,344,Paschim Medinipur,2467,Dantan - I,343797,Jamuyapati,"Jamuyapati,Dantan - I,Paschim Medinipur,West Bengal,India"
19,345,Purba Medinipur,2487,Khejuri - II,345959,Talpati,"Talpati,Khejuri - II,Purba Medinipur,West Bengal,India"
