STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
19,327,Darjiling ,2163,Naxalbari,306586,Ketugabur,"Ketugabur,Naxalbari,Darjiling,West Bengal,India"
19,327,Darjiling ,2165,Kharibari,306849,Chuchur Muchur,"Chuchur Muchur,Kharibari,Darjiling,West Bengal,India"
19,328,Jalpaiguri ,2178,Jalpaiguri,307598,Bahadur,"Bahadur,Jalpaiguri,Jalpaiguri,West Bengal,India"
19,330,Uttar Dinajpur,2193,Goalpokhar - I,309104,Chitaur,"Chitaur,Goalpokhar - I,Uttar Dinajpur,West Bengal,India"
19,330,Uttar Dinajpur,2193,Goalpokhar - I,309121,Uttar Khotasur,"Uttar Khotasur,Goalpokhar - I,Uttar Dinajpur,West Bengal,India"
19,330,Uttar Dinajpur,2193,Goalpokhar - I,309122,Dakshin Khotasur,"Dakshin Khotasur,Goalpokhar - I,Uttar Dinajpur,West Bengal,India"
19,330,Uttar Dinajpur,2193,Goalpokhar - I,309140,Mahisasur,"Mahisasur,Goalpokhar - I,Uttar Dinajpur,West Bengal,India"
19,330,Uttar Dinajpur,2193,Goalpokhar - I,309176,Balichaur,"Balichaur,Goalpokhar - I,Uttar Dinajpur,West Bengal,India"
19,330,Uttar Dinajpur,2194,Goalpokhar - II,309230,Sathaur,"Sathaur,Goalpokhar - II,Uttar Dinajpur,West Bengal,India"
19,330,Uttar Dinajpur,2194,Goalpokhar - II,309331,Kasur,"Kasur,Goalpokhar - II,Uttar Dinajpur,West Bengal,India"
19,330,Uttar Dinajpur,2194,Goalpokhar - II,309357,Saur,"Saur,Goalpokhar - II,Uttar Dinajpur,West Bengal,India"
19,330,Uttar Dinajpur,2194,Goalpokhar - II,309358,Bajiaur,"Bajiaur,Goalpokhar - II,Uttar Dinajpur,West Bengal,India"
19,330,Uttar Dinajpur,2195,Karandighi,309391,Bhagsur,"Bhagsur,Karandighi,Uttar Dinajpur,West Bengal,India"
19,330,Uttar Dinajpur,2195,Karandighi,309408,Mankaur,"Mankaur,Karandighi,Uttar Dinajpur,West Bengal,India"
19,330,Uttar Dinajpur,2195,Karandighi,309512,Bikaur,"Bikaur,Karandighi,Uttar Dinajpur,West Bengal,India"
19,330,Uttar Dinajpur,2196,Raiganj,309748,Pirkasur,"Pirkasur,Raiganj,Uttar Dinajpur,West Bengal,India"
19,330,Uttar Dinajpur,2196,Raiganj,309776,Baniapukur,"Baniapukur,Raiganj,Uttar Dinajpur,West Bengal,India"
19,330,Uttar Dinajpur,2198,Kaliaganj,309951,Jugipukur,"Jugipukur,Kaliaganj,Uttar Dinajpur,West Bengal,India"
19,330,Uttar Dinajpur,2198,Kaliaganj,309963,Dhanipukur,"Dhanipukur,Kaliaganj,Uttar Dinajpur,West Bengal,India"
19,330,Uttar Dinajpur,2198,Kaliaganj,310031,Khejurpukur,"Khejurpukur,Kaliaganj,Uttar Dinajpur,West Bengal,India"
19,330,Uttar Dinajpur,2198,Kaliaganj,310032,Bheur,"Bheur,Kaliaganj,Uttar Dinajpur,West Bengal,India"
19,330,Uttar Dinajpur,2199,Itahar,310213,Bankur,"Bankur,Itahar,Uttar Dinajpur,West Bengal,India"
19,331,Dakshin Dinajpur,2200,Kushmundi,310411,Balapukur,"Balapukur,Kushmundi,Dakshin Dinajpur,West Bengal,India"
19,331,Dakshin Dinajpur,2200,Kushmundi,310442,Gilapukur,"Gilapukur,Kushmundi,Dakshin Dinajpur,West Bengal,India"
19,331,Dakshin Dinajpur,2200,Kushmundi,310454,Buripukur,"Buripukur,Kushmundi,Dakshin Dinajpur,West Bengal,India"
19,331,Dakshin Dinajpur,2200,Kushmundi,310473,Manipukur,"Manipukur,Kushmundi,Dakshin Dinajpur,West Bengal,India"
19,331,Dakshin Dinajpur,2201,Gangarampur,310570,Bitur,"Bitur,Gangarampur,Dakshin Dinajpur,West Bengal,India"
19,331,Dakshin Dinajpur,2201,Gangarampur,310732,Kurumsur,"Kurumsur,Gangarampur,Dakshin Dinajpur,West Bengal,India"
19,331,Dakshin Dinajpur,2202,Kumarganj,310868,Bhour,"Bhour,Kumarganj,Dakshin Dinajpur,West Bengal,India"
19,331,Dakshin Dinajpur,2202,Kumarganj,310877,Patit Pukur,"Patit Pukur,Kumarganj,Dakshin Dinajpur,West Bengal,India"
19,331,Dakshin Dinajpur,2204,Balurghat,311098,Kashipukur,"Kashipukur,Balurghat,Dakshin Dinajpur,West Bengal,India"
19,331,Dakshin Dinajpur,2204,Balurghat,311216,Kamalpukur,"Kamalpukur,Balurghat,Dakshin Dinajpur,West Bengal,India"
19,331,Dakshin Dinajpur,2205,Tapan,311408,Bazrapukur,"Bazrapukur,Tapan,Dakshin Dinajpur,West Bengal,India"
19,331,Dakshin Dinajpur,2205,Tapan,311442,Sihur,"Sihur,Tapan,Dakshin Dinajpur,West Bengal,India"
19,331,Dakshin Dinajpur,2205,Tapan,311560,Mehur,"Mehur,Tapan,Dakshin Dinajpur,West Bengal,India"
19,331,Dakshin Dinajpur,2205,Tapan,311631,Sondhapukur,"Sondhapukur,Tapan,Dakshin Dinajpur,West Bengal,India"
19,331,Dakshin Dinajpur,2206,Bansihari,311718,Balipukur,"Balipukur,Bansihari,Dakshin Dinajpur,West Bengal,India"
19,331,Dakshin Dinajpur,2206,Bansihari,311738,Rangapukur,"Rangapukur,Bansihari,Dakshin Dinajpur,West Bengal,India"
19,331,Dakshin Dinajpur,2206,Bansihari,311752,Suripukur,"Suripukur,Bansihari,Dakshin Dinajpur,West Bengal,India"
19,331,Dakshin Dinajpur,2206,Bansihari,311763,Chandipukur,"Chandipukur,Bansihari,Dakshin Dinajpur,West Bengal,India"
19,331,Dakshin Dinajpur,2206,Bansihari,311796,Thingur,"Thingur,Bansihari,Dakshin Dinajpur,West Bengal,India"
19,331,Dakshin Dinajpur,2206,Bansihari,311805,Kanur,"Kanur,Bansihari,Dakshin Dinajpur,West Bengal,India"
19,331,Dakshin Dinajpur,2206,Bansihari,311806,Baje Kanur,"Baje Kanur,Bansihari,Dakshin Dinajpur,West Bengal,India"
19,332,Maldah ,2209,Harischandrapur - II,312128,Belshur,"Belshur,Harischandrapur - II,Maldah,West Bengal,India"
19,332,Maldah ,2209,Harischandrapur - II,312130,Talashur,"Talashur,Harischandrapur - II,Maldah,West Bengal,India"
19,332,Maldah ,2215,Bamangola,312829,Mudipukur,"Mudipukur,Bamangola,Maldah,West Bengal,India"
19,332,Maldah ,2216,Habibpur,312964,Jamir Pukur,"Jamir Pukur,Habibpur,Maldah,West Bengal,India"
19,332,Maldah ,2216,Habibpur,313020,Chaksukur,"Chaksukur,Habibpur,Maldah,West Bengal,India"
19,332,Maldah ,2216,Habibpur,313045,Dabur,"Dabur,Habibpur,Maldah,West Bengal,India"
19,332,Maldah ,2216,Habibpur,313138,Talpukur,"Talpukur,Habibpur,Maldah,West Bengal,India"
19,332,Maldah ,2216,Habibpur,313139,Telipukur,"Telipukur,Habibpur,Maldah,West Bengal,India"
19,332,Maldah ,2216,Habibpur,313153,Chak Katla Pukur,"Chak Katla Pukur,Habibpur,Maldah,West Bengal,India"
19,332,Maldah ,2217,Maldah (Old),313267,Akhira Pukur,"Akhira Pukur,Maldah (Old),Maldah,West Bengal,India"
19,333,Murshidabad ,2223,Farakka,313784,Tulsi Pukur,"Tulsi Pukur,Farakka,Murshidabad,West Bengal,India"
19,333,Murshidabad ,2227,Raghunathganj - I,314011,Jarur,"Jarur,Raghunathganj - I,Murshidabad,West Bengal,India"
19,333,Murshidabad ,2230,Sagardighi,314286,Kherur,"Kherur,Sagardighi,Murshidabad,West Bengal,India"
19,333,Murshidabad ,2237,Murshidabad Jiaganj,314901,Beliapukur,"Beliapukur,Murshidabad Jiaganj,Murshidabad,West Bengal,India"
19,333,Murshidabad ,2238,Nabagram,315021,Bilbagaur,"Bilbagaur,Nabagram,Murshidabad,West Bengal,India"
19,333,Murshidabad ,2239,Khargram,315168,Ninur,"Ninur,Khargram,Murshidabad,West Bengal,India"
19,333,Murshidabad ,2239,Khargram,315206,Bathur,"Bathur,Khargram,Murshidabad,West Bengal,India"
19,333,Murshidabad ,2241,Berhampore,315378,Naoda Panur,"Naoda Panur,Berhampore,Murshidabad,West Bengal,India"
19,333,Murshidabad ,2244,Beldanga - I,315579,Bhadur,"Bhadur,Beldanga - I,Murshidabad,West Bengal,India"
19,333,Murshidabad ,2245,Beldanga - II,315689,Shukur Pukur,"Shukur Pukur,Beldanga - II,Murshidabad,West Bengal,India"
19,333,Murshidabad ,2247,Bharatpur - I,315817,Podmur,"Podmur,Bharatpur - I,Murshidabad,West Bengal,India"
19,333,Murshidabad ,2248,Burwan,315848,Bichhur,"Bichhur,Burwan,Murshidabad,West Bengal,India"
19,333,Murshidabad ,2248,Burwan,315877,Kantur,"Kantur,Burwan,Murshidabad,West Bengal,India"
19,334,Birbhum,2251,Nalhati - I,316156,Pusur,"Pusur,Nalhati - I,Birbhum,West Bengal,India"
19,334,Birbhum,2253,Rampurhat - I,316360,Jendur,"Jendur,Rampurhat - I,Birbhum,West Bengal,India"
19,334,Birbhum,2256,Mayureswar - II,316630,Balur,"Balur,Mayureswar - II,Birbhum,West Bengal,India"
19,334,Birbhum,2256,Mayureswar - II,316640,Katasur,"Katasur,Mayureswar - II,Birbhum,West Bengal,India"
19,334,Birbhum,2256,Mayureswar - II,316658,Chhota Dibur,"Chhota Dibur,Mayureswar - II,Birbhum,West Bengal,India"
19,334,Birbhum,2256,Mayureswar - II,316661,Gunur,"Gunur,Mayureswar - II,Birbhum,West Bengal,India"
19,334,Birbhum,2256,Mayureswar - II,316662,Bara Dibur,"Bara Dibur,Mayureswar - II,Birbhum,West Bengal,India"
19,334,Birbhum,2256,Mayureswar - II,316692,Bandur,"Bandur,Mayureswar - II,Birbhum,West Bengal,India"
19,334,Birbhum,2257,Mohammad Bazar,316805,Korapukur,"Korapukur,Mohammad Bazar,Birbhum,West Bengal,India"
19,334,Birbhum,2257,Mohammad Bazar,316840,Latapakur,"Latapakur,Mohammad Bazar,Birbhum,West Bengal,India"
