STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
7,0,NCT OF DELHI,0,NCT OF DELHI,0,NCT OF DELHI,"NCT OF DELHI,NCT OF DELHI,NCT OF DELHI,Delhi,India"
7,90,North West,0,North West,0,North West,"North West,North West,North West,Delhi,India"
7,90,North West,430,Narela,0,Narela,"Narela,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63866,Lam Pur,"Lam Pur,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63867,Mamoor Pur,"Mamoor Pur,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63868,Singhu,"Singhu,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63869,Singhola,"Singhola,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63870,Hamid Pur,"Hamid Pur,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63871,Taj Pur Kalan,"Taj Pur Kalan,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63872,Akbar Pur Majra,"Akbar Pur Majra,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63873,Palla,"Palla,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63874,Qullak Pur,"Qullak Pur,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63875,Jhangola,"Jhangola,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63876,Sunger Pur Shahdara,"Sunger Pur Shahdara,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63877,Sunger Pur Delhi,"Sunger Pur Delhi,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63878,Tigi Pur ,"Tigi Pur,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63879,Fateh Pur Jat,"Fateh Pur Jat,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63880,Kham Pur,"Kham Pur,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63881,Shah Pur Garhi,"Shah Pur Garhi,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63882,Kureni,"Kureni,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63883,Raja Pur Kalan,"Raja Pur Kalan,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63884,Sanoth ,"Sanoth,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63885,Ghoga ,"Ghoga,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63886,Hareoli,"Hareoli,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63887,Ochandi,"Ochandi,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63888,Mungesh Pur,"Mungesh Pur,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63889,Katewara,"Katewara,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63890,Bazid Pur Thakran,"Bazid Pur Thakran,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63891,Nangal Thakran ,"Nangal Thakran,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63892,Sultan Pur Dabas,"Sultan Pur Dabas,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63893,Iradat Nagar alias Naya Bans,"Iradat Nagar alias Naya Bans,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63894,Holambi Khurd,"Holambi Khurd,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63895,Holambi Kalan,"Holambi Kalan,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63896,Zind Pur,"Zind Pur,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63897,Hiranki,"Hiranki,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63898,Mohd. Pur Ramzan Pur,"Mohd. Pur Ramzan Pur,Narela,North West,Delhi,India"
7,90,North West,430,Narela,63899,Tehri Daulat Pur,"Tehri Daulat Pur,Narela,North West,Delhi,India"
