STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
6,0,HARYANA,0,HARYANA,0,HARYANA,"HARYANA,HARYANA,HARYANA,Haryana,India"
6,69,Panchkula,0,Panchkula,0,Panchkula,"Panchkula,Panchkula,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,0,Kalka,"Kalka,Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56946,Shahpur (99),"Shahpur (99),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56947,Khokhra (100),"Khokhra (100),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56948,Nawannagar (98),"Nawannagar (98),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56949,Gorakhnath (97),"Gorakhnath (97),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56950,Sitoo  Majra (96),"Sitoo  Majra (96),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56951,Lehroundi (94),"Lehroundi (94),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56952,Maranwala (95),"Maranwala (95),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56953,Kona (93),"Kona (93),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56954,Rampur Jangi (92),"Rampur Jangi (92),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56955,Khol Mola (101),"Khol Mola (101),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56956,Khol Fatehsingh (102),"Khol Fatehsingh (102),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56957,Nanakpur (91),"Nanakpur (91),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56958,Khol Albala (89),"Khol Albala (89),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56959,Ramnagar  (90),"Ramnagar  (90),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56960,Karanpur (88),"Karanpur (88),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56961,Johlowal (129),"Johlowal (129),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56962,Charnian (128),"Charnian (128),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56963,Kheranwali (130),"Kheranwali (130),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56964,Banoi Khuda Bax (131),"Banoi Khuda Bax (131),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56965,Banoi Sanwalia (132),"Banoi Sanwalia (132),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56966,Thane Ki Ser (134),"Thane Ki Ser (134),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56967,Nagal Rootal (133),"Nagal Rootal (133),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56968,Bar (135),"Bar (135),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56969,Pargian (136),"Pargian (136),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56970,Nagal Bhaga (138),"Nagal Bhaga (138),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56971,Paploha (139),"Paploha (139),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56972,Kiratpur (127),"Kiratpur (127),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56973,Gariran (126),"Gariran (126),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56974,Majra Mehtab (140),"Majra Mehtab (140),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56975,Kandiala (137),"Kandiala (137),Kalka,Panchkula,Haryana,India"
6,69,Panchkula,356,Kalka,56976,Orian (147),"Orian (147),Kalka,Panchkula,Haryana,India"
