STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
2,0,HIMACHAL PRADESH,0,HIMACHAL PRADESH,0,HIMACHAL PRADESH,"HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,Himachal Pradesh,India"
2,23,Chamba,0,Chamba,0,Chamba,"Chamba,Chamba,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,0,Pangi,"Pangi,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6673,R.F.Luj,"R.F.Luj,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6674,Luj,"Luj,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6675,Dharwas  (11),"Dharwas,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6676,R.F.Kanyun  (8),"R.F.Kanyun,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6677,R.F.Urnu  (9),"R.F.Urnu,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6678,D.P.F.Pinchho  (10),"D.P.F.Pinchho,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6679,Kuthah  (12),"Kuthah,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6680,Chaloli  (13),"Chaloli,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6681,Rusmas  (14),"Rusmas,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6682,Tai  (15),"Tai,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6683,Sural Bhatori  (16),"Sural Bhatori,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6684,Dhar Shinkal  (17),"Dhar Shinkal,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6685,Hundan Bhatori  (18),"Hundan Bhatori,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6686,Tundru  (19),"Tundru,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6687,Takwas  (20),"Takwas,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6688,Seri Bhatwas  (21),"Seri Bhatwas,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6689,Kawas  (24),"Kawas,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6690,Praghwal  (28)  ,"Praghwal,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6691,Hughal  (25),"Hughal,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6692,Jhalwas  (20),"Jhalwas,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6693,Ghangit  (27),"Ghangit,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6694,R.F.Chilkot  (5),"R.F.Chilkot,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6695,Rani Ka Gahar  (4),"Rani Ka Gahar,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6696,Gahar Dunei,"Gahar Dunei,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6697,Gahar Bindrabani  (2),"Gahar Bindrabani,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6698,Pre Garaon  (3),"Pre Garaon,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6699,R.F.Kalatop  (29),"R.F.Kalatop,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6700,Punto  (30),"Punto,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6701,R.F.Punto  (31),"R.F.Punto,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6702,Karel  (32),"Karel,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6703,Mahliat  (33),"Mahliat,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6704,Kupha  (23),"Kupha,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6705,Thamoh  (34),"Thamoh,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6706,Parmas  (22),"Parmas,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6707,R.F.Chhatwani  (35),"R.F.Chhatwani,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6708,Chacharwas  (36),"Chacharwas,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6709,Kothi  (38),"Kothi,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6710,Seri   (37),"Seri,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6711,Dhar Parmar (51),"Dhar Parmar,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6712,Parmar  (45),"Parmar,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6713,Kumar  (44),"Kumar,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6714,D.P.F.Biyuseri  (42),"D.P.F.Biyuseri,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6715,Gawari  (41),"Gawari,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6716,R.F.Rangi  (43),"R.F.Rangi,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6717,Phindru  (40),"Phindru,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6718,R.F.Sidh-Ka-Dehra  (39),"R.F.Sidh-Ka-Dehra,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6719,R.F.Kagal  (89),"R.F.Kagal,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6720,Dhar Chichot  (90),"Dhar Chichot,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6721,Dhar Bhasanu  (91),"Dhar Bhasanu,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6722,Phindpar  (88),"Phindpar,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6723,Mindhal  (87),"Mindhal,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6724,Sach (47),"Sach,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6725,Khinan  (46),"Khinan,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6726,Kuthal  (48),"Kuthal,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6727,Ghisal  (49),"Ghisal,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6728,Hilaur  (50),"Hilaur,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6729,Micham  (53),"Micham,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6730,Dhar Dusgahar  (52),"Dhar Dusgahar,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6731,Dhar Udeen  (58),"Dhar Udeen,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6732,Dhar Chholagu (59) ,"Dhar Chholagu,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6733,Dhar Topiyun  (60),"Dhar Topiyun,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6734,Tuwan  (61),"Tuwan,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6735,Udeen  (57),"Udeen,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6736,Shoon  (56),"Shoon,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6737,Leu  (55),"Leu,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6738,Sahli  (54),"Sahli,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6739,Dhanala  (75),"Dhanala,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6740,R.F.Pilu  (76),"R.F.Pilu,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6741,R.F.Bambal  (86),"R.F.Bambal,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6742,R.F.Kulal  (93),"R.F.Kulal,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6743,Kulal  (92),"Kulal,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6744,Dhar Bansar  (95),"Dhar Bansar,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6745,R.F.Chakmand  (94),"R.F.Chakmand,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6746,Dhar Thimi  (96),"Dhar Thimi,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6747,R.F.Kaslun  (97),"R.F.Kaslun,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6748,Rei  (85),"Rei,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6749,R.F.Thandal  (84),"R.F.Thandal,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6750,Chhau  (83),"Chhau,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6751,D.P.F.Ranu (98),"D.P.F.Ranu,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6752,R.F.Ajog  (99),"R.F.Ajog,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6753,Ajog  (100),"Ajog,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6754,R.F.Nildhar  (101),"R.F.Nildhar,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6755,Dhar Panala  (103),"Dhar Panala,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6756,Dhar Lunei,"Dhar Lunei,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6757,Dhar Tarmpal  (106),"Dhar Tarmpal,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6758,R.F.Pingu  (105),"R.F.Pingu,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6759,D.P.F.Pingu  (102),"D.P.F.Pingu,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6760,Shour  (79),"Shour,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6761,R.F.Shour  (80),"R.F.Shour,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6762,D.P.F.Purthi  (81),"D.P.F.Purthi,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6763,Purthi  (82),"Purthi,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6764,D.P.F.Kadunalah  (78),"D.P.F.Kadunalah,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6765,Thandal  (77),"Thandal,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6766,R.F.Kaban  (74),"R.F.Kaban,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6767,Mojhi  (73),"Mojhi,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6768,R.F.Mojhi  (72),"R.F.Mojhi,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6769,D.P.F. Aahar (71) ,"D.P.F. Aahar,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6770,Saichu  (65),"Saichu,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6771,R.F.Saichu  (64),"R.F.Saichu,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6772,Dhar Gahl  (62),"Dhar Gahl,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6773,Dhar Harvi  (63),"Dhar Harvi,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6774,Chasak  (66),"Chasak,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6775,D.P.F.Gajrahan  (69),"D.P.F.Gajrahan,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6776,Dhar Sidhani  (70),"Dhar Sidhani,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6777,Chasak Bhator  (68),"Chasak Bhator,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,83,Pangi,6778,Dhar Chasak Bhator   (67),"Dhar Chasak Bhator,Pangi,Chamba,Himachal Pradesh,India"
2,23,Chamba,84,Chaurah,0,Chaurah,"Chaurah,Chaurah,Chamba,Himachal Pradesh,India"
2,23,Chamba,84,Chaurah,6779,Trakar Kalaban  (367),"Trakar Kalaban,Chaurah,Chamba,Himachal Pradesh,India"
2,23,Chamba,84,Chaurah,6780,Trakar Malikundi Malur  (366),"Trakar Malikundi Malur,Chaurah,Chamba,Himachal Pradesh,India"
2,23,Chamba,84,Chaurah,6781,Alwas  (365),"Alwas,Chaurah,Chamba,Himachal Pradesh,India"
2,23,Chamba,84,Chaurah,6782,R.F.Singra  (364),"R.F.Singra,Chaurah,Chamba,Himachal Pradesh,India"
2,23,Chamba,84,Chaurah,6783,Dhar Singra  (363),"Dhar Singra,Chaurah,Chamba,Himachal Pradesh,India"
2,23,Chamba,84,Chaurah,6784,Tarakar Jhamuni (362),"Tarakar Jhamuni,Chaurah,Chamba,Himachal Pradesh,India"
2,23,Chamba,84,Chaurah,6785,R.F. Neru  (361),"R.F. Neru,Chaurah,Chamba,Himachal Pradesh,India"
