STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
15,0,MIZORAM,0,MIZORAM,0,MIZORAM,"MIZORAM,MIZORAM,MIZORAM,Mizoram,India"
15,281,Mamit,0,Mamit,0,Mamit,"Mamit,Mamit,Mamit,Mizoram,India"
15,281,Mamit,1896,Zawlnuam,0,Zawlnuam,"Zawlnuam,Zawlnuam,Mamit,Mizoram,India"
15,281,Mamit,1896,Zawlnuam,271013,Kanhmun,"Kanhmun,Zawlnuam,Mamit,Mizoram,India"
15,281,Mamit,1896,Zawlnuam,271014,Luimawi,"Luimawi,Zawlnuam,Mamit,Mizoram,India"
15,281,Mamit,1896,Zawlnuam,271015,Bajirungpaveng,"Bajirungpaveng,Zawlnuam,Mamit,Mizoram,India"
15,281,Mamit,1896,Zawlnuam,271016,Thinghlun,"Thinghlun,Zawlnuam,Mamit,Mizoram,India"
15,281,Mamit,1896,Zawlnuam,271017,Kolalian,"Kolalian,Zawlnuam,Mamit,Mizoram,India"
15,281,Mamit,1896,Zawlnuam,271018,Hriphaw,"Hriphaw,Zawlnuam,Mamit,Mizoram,India"
15,281,Mamit,1896,Zawlnuam,271019,Bungthuam,"Bungthuam,Zawlnuam,Mamit,Mizoram,India"
15,281,Mamit,1896,Zawlnuam,271020,Zawlpui,"Zawlpui,Zawlnuam,Mamit,Mizoram,India"
15,281,Mamit,1896,Zawlnuam,271021,Zamuang,"Zamuang,Zawlnuam,Mamit,Mizoram,India"
15,281,Mamit,1896,Zawlnuam,271022,Rengdil,"Rengdil,Zawlnuam,Mamit,Mizoram,India"
15,281,Mamit,1896,Zawlnuam,271023,W.Damdiai,"W.Damdiai,Zawlnuam,Mamit,Mizoram,India"
15,281,Mamit,1896,Zawlnuam,271024,Kawrthah,"Kawrthah,Zawlnuam,Mamit,Mizoram,India"
15,281,Mamit,1896,Zawlnuam,271025,Tumpanglui,"Tumpanglui,Zawlnuam,Mamit,Mizoram,India"
15,281,Mamit,1896,Zawlnuam,271026,Sotapa Veng,"Sotapa Veng,Zawlnuam,Mamit,Mizoram,India"
15,281,Mamit,1896,Zawlnuam,271027,Mualthuam,"Mualthuam,Zawlnuam,Mamit,Mizoram,India"
15,281,Mamit,1896,Zawlnuam,271028,Darlak,"Darlak,Zawlnuam,Mamit,Mizoram,India"
15,281,Mamit,1896,Zawlnuam,271029,Kawrtethawveng,"Kawrtethawveng,Zawlnuam,Mamit,Mizoram,India"
15,281,Mamit,1896,Zawlnuam,271030,Serhmun,"Serhmun,Zawlnuam,Mamit,Mizoram,India"
15,281,Mamit,1896,Zawlnuam,271031,Lahmun,"Lahmun,Zawlnuam,Mamit,Mizoram,India"
15,281,Mamit,1896,Zawlnuam,271032,W.Lungpher,"W.Lungpher,Zawlnuam,Mamit,Mizoram,India"
15,281,Mamit,1896,Zawlnuam,271033,W.Bunghmun,"W.Bunghmun,Zawlnuam,Mamit,Mizoram,India"
15,281,Mamit,1896,Zawlnuam,271034,Tuirum,"Tuirum,Zawlnuam,Mamit,Mizoram,India"
15,281,Mamit,1896,Zawlnuam,271035,Khanthuam,"Khanthuam,Zawlnuam,Mamit,Mizoram,India"
15,281,Mamit,1896,Zawlnuam,271036,Dinthar Bethel,"Dinthar Bethel,Zawlnuam,Mamit,Mizoram,India"
