STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
3,0,PUNJAB,0,PUNJAB,0,PUNJAB,"PUNJAB,PUNJAB,PUNJAB,Punjab,India"
3,35,Gurdaspur,0,Gurdaspur,0,Gurdaspur,"Gurdaspur,Gurdaspur,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,0,Dhar Kalan,"Dhar Kalan,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27374,Darbahn (406),"Darbahn,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27375,Darkua Bangla (405),"Darkua Bangla,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27376,Sarti(404),"Sarti,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27377,Dukhan Iyali (407) ,"Dukhan Iyali,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27378,Ghar (408),"Ghar,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27379,Barsudhal (409),"Barsudhal,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27380,Dunera (418),"Dunera,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27381,Bhamlada (410) ,"Bhamlada,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27382,Nalloh (411),"Nalloh,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27383,Phangota (403),"Phangota,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27384,Dhar Khurd (412),"Dhar Khurd,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27385,Faugli Mawa (413),"Faugli Mawa,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27386,Lanjera (417),"Lanjera,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27387,Lohrun (Lehroon) (419) ,"Lohrun,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27388,Bakhatpur (420),"Bakhatpur,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27389,Rohg (416),"Rohg,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27390,Bhanguri (415),"Bhanguri,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27391,Jalahar (414),"Jalahar,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27392,Dhar Kalan (400),"Dhar Kalan,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27393,Hardo Saran (401),"Hardo Saran,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27394,Chamrour (402),"Chamrour,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27395,Thara Uparla (399/2),"Thara Uparla,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27396,Thara Jhikla (399/1),"Thara Jhikla,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27397,Narianpur (395),"Narianpur,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27398,Hara (394),"Hara,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27399,Tarhari (396),"Tarhari,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27400,Tureti (397),"Tureti,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,200,Dhar Kalan,27401,Kot (CT),"Kot,Dhar Kalan,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,0,Pathankot,"Pathankot,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27402,Rajpura(366),"Rajpura,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27403,Barkola (365),"Barkola,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27404,Harur (364),"Harur,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27405,Kamwal (363),"Kamwal,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27406,Khala (362),"Khala,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27407,Sadhauri (361),"Sadhauri,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27408,Madhopur(358),"Madhopur,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27409,Madhopur Chhauni (359),"Madhopur Chhauni,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27410,Gurah Khurd (360),"Gurah Khurd,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27411,Ranipur (356),"Ranipur,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27412,Mutfaroa (355),"Mutfaroa,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27413,Jhanjeli (354),"Jhanjeli,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27414,Dadwan (370),"Dadwan,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27415,Baroi (369),"Baroi,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27416,Jindrai (368),"Jindrai,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27417,Jungath (371),"Jungath,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27418,Nagrota (372),"Nagrota,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27419,Kother (375),"Kother,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27420,Karoli (374),"Karoli,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27421,Gagroli(373),"Gagroli,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27422,Turehti (393),"Turehti,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27423,Haryal(392),"Haryal,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27424,Baghar (391),"Baghar,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27425,Jandwal (383),"Jandwal,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27426,Tahra (382),"Tahra,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27427,Chatwal (381),"Chatwal,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27428,Barsun (380),"Barsun,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27429,Sangher (379),"Sangher,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27430,Jharoli (387),"Jharoli,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27431,Halahar (386),"Halahar,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27432,Kalarwan (384),"Kalarwan,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27433,Jakral (385),"Jakral,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27434,Athotarwan(389),"Athotarwan,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27435,Bhortarwan (388),"Bhortarwan,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27436,Phadial (377),"Phadial,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27437,Siyonti (376),"Siyonti,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27438,Lamin (342) (Part),"Lamin,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27439,Kairi (350),"Kairi,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27440,Phangoli (351),"Phangoli,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27441,Chak Madho Singh (344),"Chak Madho Singh,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27442,Kingarian (337),"Kingarian,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27443,Gosainpur (345),"Gosainpur,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27444,Kahanpur (349),"Kahanpur,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27445,Paddian Lahri (346),"Paddian Lahri,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27446,Chhotepur (347),"Chhotepur,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27447,Gandran Lahri (348),"Gandran Lahri,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27448,Nihalpur (353),"Nihalpur,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27449,Bhanwal (227),"Bhanwal,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27450,Bheri Bazurg (217),"Bheri Bazurg,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27451,Mirzapur (219),"Mirzapur,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27452,Chhan (221),"Chhan,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27453,Attapur (222),"Attapur,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27454,Hajipur (220),"Hajipur,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27455,Ferozepur Kalan (224),"Ferozepur Kalan,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27456,Bhol Chak (223),"Bhol Chak,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27457,Khadawar (225),"Khadawar,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27458,Azizpur Kalan (226),"Azizpur Kalan,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27459,Bhajurah (234),"Bhajurah,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27460,Islampur (237),"Islampur,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27461,Jhakhian Lahri (236),"Jhakhian Lahri,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27462,Bahadar Lahri (239),"Bahadar Lahri,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27463,Bharoli Khurd (242),"Bharoli Khurd,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27464,Bharoli Kalan (243),"Bharoli Kalan,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27465,Dadwal (238),"Dadwal,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27466,Asa Bano (205),"Asa Bano,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27467,Itti (233),"Itti,Pathankot,Gurdaspur,Punjab,India"
3,35,Gurdaspur,201,Pathankot,27468,Sujanpur ( Rural ) (229),"Sujanpur,Pathankot,Gurdaspur,Punjab,India"
