STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
8,0,RAJASTHAN,0,RAJASTHAN,0,RAJASTHAN,"RAJASTHAN,RAJASTHAN,RAJASTHAN,Rajasthan,India"
8,99,Ganganagar ,0,Ganganagar ,0,Ganganagar ,"Ganganagar,Ganganagar,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,0,Karanpur,"Karanpur,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64088,15 S,"15 S,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64089,14 S,"14 S,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64090,13 S-B,"13 S-B,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64091,13 S-A,"13 S-A,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64092,9 S-B,"9 S-B,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64093,9 S-A,"9 S-A,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64094,5 S-B,"5 S-B,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64095,5 S-A,"5 S-A,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64096,3 S,"3 S,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64097,1 S,"1 S,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64098,10 H,"10 H,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64099,1 R,"1 R,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64100,2 R,"2 R,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64101,4 R,"4 R,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64102,3 R,"3 R,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64103,12 H,"12 H,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64104,11 H,"11 H,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64105,2 S,"2 S,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64106,4 S,"4 S,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64107,6 S,"6 S,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64108,7 S,"7 S,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64109,8 S,"8 S,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64110,10 S,"10 S,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64111,11 S,"11 S,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64112,6 V,"6 V,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64113,12 S,"12 S,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64114,1 X,"1 X,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64115,2 X,"2 X,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64116,17 S,"17 S,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64117,16 S,"16 S,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64118,36 H,"36 H,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64119,34 H,"34 H,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64120,33 H,"33 H,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64121,28 H,"28 H,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64122,4 X,"4 X,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64123,3 X,"3 X,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64124,7 V,"7 V,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64125,26 H,"26 H,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64126,24 H-B,"24 H-B,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64127,8 V,"8 V,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64128,4 V,"4 V,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64129,24 H-A,"24 H-A,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64130,21 H,"21 H,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64131,3 V,"3 V,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64132,20 H,"20 H,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64133,1 V I,"1 V I,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64134,1 V II,"1 V II,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64135,2 V II,"2 V II,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64136,2 V I,"2 V I,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64137,18 H,"18 H,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64138,16/17 H,"16/17 H,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64139,13 H,"13 H,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64140,14 H,"14 H,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64141,15 H,"15 H,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64142,1 T,"1 T,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64143,2 T,"2 T,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64144,4 T,"4 T,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64145,3 T,"3 T,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64146,2 U,"2 U,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64147,5 U (RURAL),"5 U (RURAL),Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64148,4 U(RURAL),"4 U(RURAL),Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64149,19 F,"19 F,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64150,20 F,"20 F,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64151,3 U (RURAL),"3 U (RURAL),Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64152,19 H,"19 H,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64153,1 W,"1 W,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64154,3 W,"3 W,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64155,2 W,"2 W,Karanpur,Ganganagar,Rajasthan,India"
8,99,Ganganagar ,457,Karanpur,64156,22 H,"22 H,Karanpur,Ganganagar,Rajasthan,India"
