"STCode","DTCode","DTName","SDTCode","SDTName","TVCode","Name"
"28","000","ANDHRA PRADESH","00000","ANDHRA PRADESH","000000","ANDHRA PRADESH"
"28","532","Adilabad","00000","Adilabad","000000","Adilabad"
"28","532","Adilabad","04305","Tamsi","000000","Tamsi"
"28","532","Adilabad","04305","Tamsi","568945","Karanji"
"28","532","Adilabad","04305","Tamsi","568946","Guledi"
"28","532","Adilabad","04305","Tamsi","568947","Gomutri"
"28","532","Adilabad","04305","Tamsi","568948","Antargaon"
"28","532","Adilabad","04305","Tamsi","568949","Arli"
"28","532","Adilabad","04305","Tamsi","568950","Wadoor"
"28","532","Adilabad","04305","Tamsi","568951","Dhanora"
"28","532","Adilabad","04305","Tamsi","568952","Kamathwada"
"28","532","Adilabad","04305","Tamsi","568953","Gona"
"28","532","Adilabad","04305","Tamsi","568954","Gunjala"
"28","532","Adilabad","04305","Tamsi","568955","Gollaghat"
"28","532","Adilabad","04305","Tamsi","568956","Tamsi"
"28","532","Adilabad","04305","Tamsi","568957","Nipani"
"28","532","Adilabad","04305","Tamsi","568958","Dabbakuchi"
"28","532","Adilabad","04305","Tamsi","568959","Bheempoor"
"28","532","Adilabad","04305","Tamsi","568960","Belsari Rampur"
"28","532","Adilabad","04305","Tamsi","568961","Anderband"
"28","532","Adilabad","04305","Tamsi","568962","Girgaon"
"28","532","Adilabad","04305","Tamsi","568963","Ambugaon"
"28","532","Adilabad","04305","Tamsi","568964","Palodi"
"28","532","Adilabad","04305","Tamsi","568965","Wadgaon"
"28","532","Adilabad","04305","Tamsi","568966","Khapperla"
"28","532","Adilabad","04305","Tamsi","568967","Pippalkhoti"
"28","532","Adilabad","04305","Tamsi","568968","Ghotkuri"
"28","532","Adilabad","04305","Tamsi","568969","Savargaon"
"28","532","Adilabad","04305","Tamsi","568970","Bandalnagapur"
"28","532","Adilabad","04305","Tamsi","568971","Jamdi"
"28","532","Adilabad","04305","Tamsi","568972","Tamsi"
"28","532","Adilabad","04305","Tamsi","568973","Waddadi"
"28","532","Adilabad","04305","Tamsi","568974","Hasnapur"
"28","532","Adilabad","04305","Tamsi","568975","Ponnari"
"28","532","Adilabad","04306","Adilabad","000000","Adilabad"
"28","532","Adilabad","04306","Adilabad","568976","Jamdapur"
"28","532","Adilabad","04306","Adilabad","568977","Mallapur"
