STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
27,499,Jalgaon,3969,Amalner,527481,Sundarpatti,"Sundarpatti,Amalner,Jalgaon,Maharashtra,India"
27,508,Gadchiroli,4055,Korchi,538867,Gyarapatti,"Gyarapatti,Korchi,Gadchiroli,Maharashtra,India"
27,517,Thane,4163,Palghar,552193,Akkarpatti,"Akkarpatti,Palghar,Thane,Maharashtra,India"
27,505,Nagpur,4036,Bhiwapur,536525,Salebhatti,"Salebhatti,Bhiwapur,Nagpur,Maharashtra,India"
27,505,Nagpur,4036,Bhiwapur,536580,Salebhatti,"Salebhatti,Bhiwapur,Nagpur,Maharashtra,India"
27,505,Nagpur,4036,Bhiwapur,536589,Salebhatti,"Salebhatti,Bhiwapur,Nagpur,Maharashtra,India"
27,506,Bhandara,4039,Bhandara,536982,Salehatti,"Salehatti,Bhandara,Bhandara,Maharashtra,India"
27,506,Bhandara,4042,Pauni,537392,Salebhatti,"Salebhatti,Pauni,Bhandara,Maharashtra,India"
27,507,Gondiya,4048,Salekasa,538064,Kular Bhatti,"Kular Bhatti,Salekasa,Gondiya,Maharashtra,India"
27,508,Gadchiroli,4054,Kurkheda,538663,Charbhatti,"Charbhatti,Kurkheda,Gadchiroli,Maharashtra,India"
27,508,Gadchiroli,4055,Korchi,538784,Phakanabhatti,"Phakanabhatti,Korchi,Gadchiroli,Maharashtra,India"
27,508,Gadchiroli,4055,Korchi,538845,Deulbhatti,"Deulbhatti,Korchi,Gadchiroli,Maharashtra,India"
27,508,Gadchiroli,4056,Dhanora,538869,Salebhatti,"Salebhatti,Dhanora,Gadchiroli,Maharashtra,India"
27,508,Gadchiroli,4056,Dhanora,538915,Kulbhatti,"Kulbhatti,Dhanora,Gadchiroli,Maharashtra,India"
27,508,Gadchiroli,4056,Dhanora,538938,Modebhatti,"Modebhatti,Dhanora,Gadchiroli,Maharashtra,India"
27,508,Gadchiroli,4056,Dhanora,538988,Salebhatti,"Salebhatti,Dhanora,Gadchiroli,Maharashtra,India"
27,508,Gadchiroli,4060,Etapalli,539505,Sinbhatti,"Sinbhatti,Etapalli,Gadchiroli,Maharashtra,India"
27,508,Gadchiroli,4061,Bhamragad,539710,Parmalbhatti,"Parmalbhatti,Bhamragad,Gadchiroli,Maharashtra,India"
27,509,Chandrapur,4066,Nagbhir,540594,Sale Bhatti,"Sale Bhatti,Nagbhir,Chandrapur,Maharashtra,India"
27,509,Chandrapur,4069,Sindewahi,540986,Nachan Bhatti,"Nachan Bhatti,Sindewahi,Chandrapur,Maharashtra,India"
27,510,Yavatmal,4092,Maregaon,543781,Salebhatti,"Salebhatti,Maregaon,Yavatmal,Maharashtra,India"
27,517,Thane,4160,Jawhar,551901,Kanadhatti,"Kanadhatti,Jawhar,Thane,Maharashtra,India"
27,530,Kolhapur,4293,Gadhinglaj,568057,Yamehatti,"Yamehatti,Gadhinglaj,Kolhapur,Maharashtra,India"
27,530,Kolhapur,4294,Chandgad,568134,Yaratanhatti,"Yaratanhatti,Chandgad,Kolhapur,Maharashtra,India"
27,530,Kolhapur,4294,Chandgad,568144,Jakkanhatti,"Jakkanhatti,Chandgad,Kolhapur,Maharashtra,India"
27,530,Kolhapur,4294,Chandgad,568189,Jangamhatti,"Jangamhatti,Chandgad,Kolhapur,Maharashtra,India"
