STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
21,374,Sundargarh,2814,Rajagangapur,384221,Kunumuru,"Kunumuru,Rajagangapur,Sundargarh,Odisha,India"
21,374,Sundargarh,2825,Kamarposh Balang,384721,Kunduruburu,"Kunduruburu,Kamarposh Balang,Sundargarh,Odisha,India"
21,375,Kendujhar,2834,Barbil,385248,Uliburu,"Uliburu,Barbil,Kendujhar,Odisha,India"
21,375,Kendujhar,2835,Bolani,385275,Kiriburu,"Kiriburu,Bolani,Kendujhar,Odisha,India"
21,375,Kendujhar,2845,Kendujhar Town,386168,Ghuturu,"Ghuturu,Kendujhar Town,Kendujhar,Odisha,India"
21,375,Kendujhar,2849,Pandapara,386542,Dhanguru,"Dhanguru,Pandapara,Kendujhar,Odisha,India"
21,376,Mayurbhanj,2862,Gorumahisani,387780,Tanguru,"Tanguru,Gorumahisani,Mayurbhanj,Odisha,India"
21,376,Mayurbhanj,2869,Ghagarbeda ,388806,Nanduburu,"Nanduburu,Ghagarbeda,Mayurbhanj,Odisha,India"
21,377,Baleshwar,2905,Oupada  ,393385,Banguru,"Banguru,Oupada,Baleshwar,Odisha,India"
21,386,Khordha ,3050,Jankia ,407961,Kamaguru,"Kamaguru,Jankia,Khordha,Odisha,India"
21,386,Khordha ,3051,Nirakarpur,407979,Chakakamaguru,"Chakakamaguru,Nirakarpur,Khordha,Odisha,India"
21,388,Ganjam,3072,BUGUDA,410387,Sankuru,"Sankuru,BUGUDA,Ganjam,Odisha,India"
21,388,Ganjam,3081,POLASARA,411481,Khanduru,"Khanduru,POLASARA,Ganjam,Odisha,India"
21,388,Ganjam,3085,CHHATRAPUR,412082,Katuru,"Katuru,CHHATRAPUR,Ganjam,Odisha,India"
21,388,Ganjam,3090,HINJILI,412332,Kanchuru,"Kanchuru,HINJILI,Ganjam,Odisha,India"
21,388,Ganjam,3095,GOLANTHARA,412721,Katuru,"Katuru,GOLANTHARA,Ganjam,Odisha,India"
21,389,Gajapati,3100,Adva ,413570,kantahuru,"kantahuru,Adva,Gajapati,Odisha,India"
21,389,Gajapati,3100,Adva ,413606,Bandhahuru,"Bandhahuru,Adva,Gajapati,Odisha,India"
21,389,Gajapati,3101,Mohana ,413830,Kuihuru,"Kuihuru,Mohana,Gajapati,Odisha,India"
21,389,Gajapati,3101,Mohana ,413907,Dunduru,"Dunduru,Mohana,Gajapati,Odisha,India"
21,389,Gajapati,3102,R.Udaygiri ,413973,Anuguru,"Anuguru,R.Udaygiri,Gajapati,Odisha,India"
21,389,Gajapati,3102,R.Udaygiri ,413998,Tunguru,"Tunguru,R.Udaygiri,Gajapati,Odisha,India"
21,389,Gajapati,3103,Serango ,414342,Guduru,"Guduru,Serango,Gajapati,Odisha,India"
21,389,Gajapati,3104,Kashinagara ,414555,Khanduru,"Khanduru,Kashinagara,Gajapati,Odisha,India"
21,389,Gajapati,3104,Kashinagara ,414573,Katuru,"Katuru,Kashinagara,Gajapati,Odisha,India"
21,389,Gajapati,3105,Parlakhemundi ,414582,Sourajoduru,"Sourajoduru,Parlakhemundi,Gajapati,Odisha,India"
21,389,Gajapati,3105,Parlakhemundi ,414607,Poluru,"Poluru,Parlakhemundi,Gajapati,Odisha,India"
21,389,Gajapati,3105,Parlakhemundi ,414612,Metakaturu,"Metakaturu,Parlakhemundi,Gajapati,Odisha,India"
21,389,Gajapati,3106,Gurandi,414652,Meturu,"Meturu,Gurandi,Gajapati,Odisha,India"
21,389,Gajapati,3106,Gurandi,414688,Badakaturu,"Badakaturu,Gurandi,Gajapati,Odisha,India"
21,389,Gajapati,3106,Gurandi,414689,Sanakaturu,"Sanakaturu,Gurandi,Gajapati,Odisha,India"
21,389,Gajapati,3109,Ramagiri,415017,Kurukuru,"Kurukuru,Ramagiri,Gajapati,Odisha,India"
