STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
28,532,Adilabad,4306,Adilabad,568998,Kottur,"Kottur,Adilabad,Adilabad,India"
28,532,Adilabad,4306,Adilabad,568999,Borenur,"Borenur,Adilabad,Adilabad,India"
28,532,Adilabad,4308,Bela,569079,Khagdur,"Khagdur,Bela,Adilabad,India"
28,532,Adilabad,4308,Bela,569101,Warur,"Warur,Bela,Adilabad,India"
28,532,Adilabad,4309,Talamadugu,569130,Kothur,"Kothur,Talamadugu,Adilabad,India"
28,532,Adilabad,4310,Gudihathnoor,569154,Gudihathinur,"Gudihathinur,Gudihathnoor,Adilabad,India"
28,532,Adilabad,4310,Gudihathnoor,569157,Muthnur,"Muthnur,Gudihathnoor,Adilabad,India"
28,532,Adilabad,4310,Gudihathnoor,569159,Mannur,"Mannur,Gudihathnoor,Adilabad,India"
28,532,Adilabad,4311,Inderavelly,569178,Muthnur,"Muthnur,Inderavelly,Adilabad,India"
28,532,Adilabad,4312,Narnoor,569229,Pownur,"Pownur,Narnoor,Adilabad,India"
28,532,Adilabad,4312,Narnoor,569251,Tadihadapnur,"Tadihadapnur,Narnoor,Adilabad,India"
28,532,Adilabad,4313,Kerameri ,569271,Bholepathur,"Bholepathur,Kerameri,Adilabad,India"
28,532,Adilabad,4317,Bejjur,0,Bejjur,"Bejjur,Bejjur,Adilabad,India"
28,532,Adilabad,4317,Bejjur,569417,Bejjur,"Bejjur,Bejjur,Adilabad,India"
28,532,Adilabad,4317,Bejjur,569425,Yellur,"Yellur,Bejjur,Adilabad,India"
28,532,Adilabad,4320,Jainoor,569551,Shivanur,"Shivanur,Jainoor,Adilabad,India"
28,532,Adilabad,4321,Utnoor,569562,Chandur,"Chandur,Utnoor,Adilabad,India"
28,532,Adilabad,4321,Utnoor,569596,Utnur,"Utnur,Utnoor,Adilabad,India"
28,532,Adilabad,4323,Bazarhathnoor,569660,Bazarhatnur,"Bazarhatnur,Bazarhathnoor,Adilabad,India"
28,532,Adilabad,4323,Bazarhathnoor,569664,Girnur,"Girnur,Bazarhathnoor,Adilabad,India"
28,532,Adilabad,4324,Boath,569697,Dhannur,"Dhannur,Boath,Adilabad,India"
28,532,Adilabad,4325,Neradigonda,569728,Waddur,"Waddur,Neradigonda,Adilabad,India"
28,532,Adilabad,4326,Sirpur,569753,Bhurnur,"Bhurnur,Sirpur,Adilabad,India"
28,532,Adilabad,4326,Sirpur,569761,Netnur,"Netnur,Sirpur,Adilabad,India"
28,532,Adilabad,4326,Sirpur,569764,Kohinur,"Kohinur,Sirpur,Adilabad,India"
28,532,Adilabad,4326,Sirpur,569765,Kohinur,"Kohinur,Sirpur,Adilabad,India"
28,532,Adilabad,4326,Sirpur,569766,Shettihadapnur,"Shettihadapnur,Sirpur,Adilabad,India"
28,532,Adilabad,4326,Sirpur,569770,Ghumnur,"Ghumnur,Sirpur,Adilabad,India"
28,532,Adilabad,4326,Sirpur,569771,Ghumnur,"Ghumnur,Sirpur,Adilabad,India"
28,532,Adilabad,4331,Nennal,569944,Kothur,"Kothur,Nennal,Adilabad,India"
28,532,Adilabad,4332,Tandur,0,Tandur,"Tandur,Tandur,Adilabad,India"
28,532,Adilabad,4332,Tandur,569963,Tandur,"Tandur,Tandur,Adilabad,India"
28,532,Adilabad,4335,Kaddam,570047,Peddur,"Peddur,Kaddam,Adilabad,India"
28,532,Adilabad,4335,Kaddam,570069,Bhuthkur,"Bhuthkur,Kaddam,Adilabad,India"
28,532,Adilabad,4335,Kaddam,570071,Chennur,"Chennur,Kaddam,Adilabad,India"
28,532,Adilabad,4336,Sarangapur,570075,Ponkur,"Ponkur,Sarangapur,Adilabad,India"
28,532,Adilabad,4336,Sarangapur,570088,Piyaramur,"Piyaramur,Sarangapur,Adilabad,India"
28,532,Adilabad,4336,Sarangapur,570095,Alur,"Alur,Sarangapur,Adilabad,India"
28,532,Adilabad,4337,Kuntala,570117,Venkur,"Venkur,Kuntala,Adilabad,India"
28,532,Adilabad,4337,Kuntala,570119,Andkur,"Andkur,Kuntala,Adilabad,India"
28,532,Adilabad,4337,Kuntala,570123,Kallur,"Kallur,Kuntala,Adilabad,India"
28,532,Adilabad,4339,Bhainsa,570172,Siddur,"Siddur,Bhainsa,Adilabad,India"
28,532,Adilabad,4339,Bhainsa,570177,Bijjur,"Bijjur,Bhainsa,Adilabad,India"
28,532,Adilabad,4340,Tanoor,570218,Kolur,"Kolur,Tanoor,Adilabad,India"
28,532,Adilabad,4341,Mudhole,570244,Gudur,"Gudur,Mudhole,Adilabad,India"
28,532,Adilabad,4342,Lokeswaram,570280,Yeddur,"Yeddur,Lokeswaram,Adilabad,India"
28,532,Adilabad,4343,Dilawarpur,570326,Kothur,"Kothur,Dilawarpur,Adilabad,India"
28,532,Adilabad,4346,Mamda,570421,Adarsanagar Kothur @ Edudur,"Adarsanagar Kothur @ Edudur,Mamda,Adilabad,India"
28,532,Adilabad,4349,Kasipet,570501,Konur,"Konur,Kasipet,Adilabad,India"
28,532,Adilabad,4351,Kotapalle,570556,Kollur,"Kollur,Kotapalle,Adilabad,India"
28,532,Adilabad,4352,Mandamarri,570568,Lemur,"Lemur,Mandamarri,Adilabad,India"
28,532,Adilabad,4353,Luxettipet,570580,Kothur,"Kothur,Luxettipet,Adilabad,India"
28,532,Adilabad,4353,Luxettipet,570581,Utukur,"Utukur,Luxettipet,Adilabad,India"
28,532,Adilabad,4354,Mancherial,570607,Namnur,"Namnur,Mancherial,Adilabad,India"
28,532,Adilabad,4355,Jaipur,570617,Kankur,"Kankur,Jaipur,Adilabad,India"
28,532,Adilabad,4355,Jaipur,570650,Pownur,"Pownur,Jaipur,Adilabad,India"
28,532,Adilabad,4356,Chennur,0,Chennur,"Chennur,Chennur,Adilabad,India"
28,532,Adilabad,4356,Chennur,570679,Pokkur,"Pokkur,Chennur,Adilabad,India"
28,532,Adilabad,4356,Chennur,570685,Chennur,"Chennur,Chennur,Adilabad,India"
28,533,Nizamabad,4359,Nandipet,570752,Bazarkothur,"Bazarkothur,Nandipet,Nizamabad,India"
28,533,Nizamabad,4359,Nandipet,570757,Tondakur,"Tondakur,Nandipet,Nizamabad,India"
28,533,Nizamabad,4360,Armur,0,Armur,"Armur,Armur,Nizamabad,India"
28,533,Nizamabad,4360,Armur,570772,Alur,"Alur,Armur,Nizamabad,India"
28,533,Nizamabad,4360,Armur,570778,Kotha Armur,"Kotha Armur,Armur,Nizamabad,India"
28,533,Nizamabad,4361,Balkonda,570788,Nallur,"Nallur,Balkonda,Nizamabad,India"
28,533,Nizamabad,4361,Balkonda,570791,Kojan Kothur,"Kojan Kothur,Balkonda,Nizamabad,India"
28,533,Nizamabad,4361,Balkonda,570797,Velgatur,"Velgatur,Balkonda,Nizamabad,India"
28,533,Nizamabad,4363,Kammarpalle,570829,Hasakothur,"Hasakothur,Kammarpalle,Nizamabad,India"
28,533,Nizamabad,4363,Kammarpalle,570839,Belur,"Belur,Kammarpalle,Nizamabad,India"
28,533,Nizamabad,4364,Bheemgal,570857,Muchkur,"Muchkur,Bheemgal,Nizamabad,India"
28,533,Nizamabad,4365,Velpur,570871,Kuknur,"Kuknur,Velpur,Nizamabad,India"
28,533,Nizamabad,4365,Velpur,570882,Aklur,"Aklur,Velpur,Nizamabad,India"
28,533,Nizamabad,4366,Jakranpalle,570898,Chintalur,"Chintalur,Jakranpalle,Nizamabad,India"
28,533,Nizamabad,4368,Nizamabad,570927,Kondur,"Kondur,Nizamabad,Nizamabad,India"
28,533,Nizamabad,4368,Nizamabad,570928,Kalur,"Kalur,Nizamabad,Nizamabad,India"
28,533,Nizamabad,4371,Kotgiri,571012,Kollur,"Kollur,Kotgiri,Nizamabad,India"
28,533,Nizamabad,4371,Kotgiri,571018,Raikur,"Raikur,Kotgiri,Nizamabad,India"
28,533,Nizamabad,4371,Kotgiri,571039,Kallur,"Kallur,Kotgiri,Nizamabad,India"
28,533,Nizamabad,4372,Madnoor,571065,Madnur,"Madnur,Madnoor,Nizamabad,India"
28,533,Nizamabad,4372,Madnoor,571068,Chinna Thadugur,"Chinna Thadugur,Madnoor,Nizamabad,India"
28,533,Nizamabad,4372,Madnoor,571069,Pedda Thadgur,"Pedda Thadgur,Madnoor,Nizamabad,India"
28,533,Nizamabad,4372,Madnoor,571071,Mainur,"Mainur,Madnoor,Nizamabad,India"
28,533,Nizamabad,4376,Varni,571192,Rudrur,"Rudrur,Varni,Nizamabad,India"
28,533,Nizamabad,4376,Varni,571206,Chandur,"Chandur,Varni,Nizamabad,India"
28,533,Nizamabad,4379,Sirkonda,571257,Pothnur,"Pothnur,Sirkonda,Nizamabad,India"
28,533,Nizamabad,4379,Sirkonda,571266,Kondur,"Kondur,Sirkonda,Nizamabad,India"
28,533,Nizamabad,4382,Gandhari,571335,Utnur,"Utnur,Gandhari,Nizamabad,India"
28,533,Nizamabad,4382,Gandhari,571344,Naglur,"Naglur,Gandhari,Nizamabad,India"
28,533,Nizamabad,4383,Banswada,571366,Kollur,"Kollur,Banswada,Nizamabad,India"
