STCode,DTCode,DTName,SDTCode,SDTName,TVCode,Name,Address
29,555,Belgaum,5433,Chikodi,597117,Bhatnaganur,"Bhatnaganur,Chikodi,Belgaum,Karnataka,India"
29,555,Belgaum,5433,Chikodi,597127,Lakhanapur,"Lakhanapur,Chikodi,Belgaum,Karnataka,India"
29,555,Belgaum,5433,Chikodi,597131,Naganur,"Naganur,Chikodi,Belgaum,Karnataka,India"
29,555,Belgaum,5433,Chikodi,597140,Shendur,"Shendur,Chikodi,Belgaum,Karnataka,India"
29,555,Belgaum,5433,Chikodi,597147,Manakapur,"Manakapur,Chikodi,Belgaum,Karnataka,India"
29,555,Belgaum,5433,Chikodi,597157,Mangur,"Mangur,Chikodi,Belgaum,Karnataka,India"
29,555,Belgaum,5433,Chikodi,597158,Kunnur,"Kunnur,Chikodi,Belgaum,Karnataka,India"
29,555,Belgaum,5433,Chikodi,597179,Chandur,"Chandur,Chikodi,Belgaum,Karnataka,India"
29,555,Belgaum,5433,Chikodi,597181,Yadur,"Yadur,Chikodi,Belgaum,Karnataka,India"
29,555,Belgaum,5433,Chikodi,597182,Hosa Yedur,"Hosa Yedur,Chikodi,Belgaum,Karnataka,India"
29,555,Belgaum,5433,Chikodi,597188,Kadapur,"Kadapur,Chikodi,Belgaum,Karnataka,India"
29,555,Belgaum,5433,Chikodi,597190,Kerur,"Kerur,Chikodi,Belgaum,Karnataka,India"
29,555,Belgaum,5433,Chikodi,597201,Rampur,"Rampur,Chikodi,Belgaum,Karnataka,India"
29,555,Belgaum,5433,Chikodi,597223,Jainapur,"Jainapur,Chikodi,Belgaum,Karnataka,India"
29,555,Belgaum,5433,Chikodi,597227,Mangnur,"Mangnur,Chikodi,Belgaum,Karnataka,India"
29,555,Belgaum,5433,Chikodi,597240,Kabbur,"Kabbur,Chikodi,Belgaum,Karnataka,India"
29,555,Belgaum,5433,Chikodi,597244,Jaganur,"Jaganur,Chikodi,Belgaum,Karnataka,India"
29,555,Belgaum,5434,Athni,597248,Ajur,"Ajur,Athni,Belgaum,Karnataka,India"
29,555,Belgaum,5434,Athni,597249,Anantapur,"Anantapur,Athni,Belgaum,Karnataka,India"
29,555,Belgaum,5434,Athni,597254,Shirur,"Shirur,Athni,Belgaum,Karnataka,India"
29,555,Belgaum,5434,Athni,597269,Hanamapur,"Hanamapur,Athni,Belgaum,Karnataka,India"
29,555,Belgaum,5434,Athni,597279,Shahapur,"Shahapur,Athni,Belgaum,Karnataka,India"
29,555,Belgaum,5434,Athni,597287,Lokur,"Lokur,Athni,Belgaum,Karnataka,India"
